model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_base,california_housing,256,256,1,0.0,0.3790068785716843,0.40582145112260193,768
lgbm_quant,mushroom,512,512,2,0.0,1.0,1.0,3572
lgbm_quant,california_housing,256,256,1,0.0,0.3810428815592804,0.4073771716496545,768
lgbm_quant,covtype,1024,1024,1,0.0,0.7733025823510302,0.7705394869323512,3072
lgbm_base,kin8nm,256,256,8,0.0,0.003353730647542115,0.013125779934435878,15460
lgbm_quant,kin8nm,256,256,8,0.0,12.288538681503502,11.948779555624316,15460
lgbm_base,california_housing,1024,1024,4,0.0,0.09740472604477274,0.1986682086666819,27674
lgbm_quant,covtype,256,256,4,0.0,0.8205585520073837,0.8160890854797208,7638
lgbm_quant,california_housing,1024,1024,4,0.0,85.49176587474939,82.8073277998298,27674
lgbm_base,breastcancer,32,32,2,0.0,0.9934065934065934,0.9473684210526315,224
lgbm_quant,breastcancer,32,32,2,0.0,0.9934065934065934,0.9473684210526315,224
lgbm_base,breastcancer,16,16,1,0.0,0.9604395604395605,0.9122807017543859,48
lgbm_quant,breastcancer,16,16,1,0.0,0.9604395604395605,0.9122807017543859,48
lgbm_base,breastcancer,1,1,2,0.0,0.6329670329670329,0.6052631578947368,7
lgbm_quant,breastcancer,1,1,2,0.0,0.6329670329670329,0.6052631578947368,7
lgbm_base,breastcancer,64,64,4,0.0,1.0,0.956140350877193,1186
lgbm_quant,breastcancer,64,64,4,0.0,1.0,0.956140350877193,1186
lgbm_base,covtype,128,128,1,0.0,0.7492109662248364,0.7464351178541001,384
lgbm_quant,covtype,128,128,1,0.0,0.7492948716569602,0.7465297797819334,384
lgbm_base,kin8nm,32,32,2,0.0,0.03953710720587778,0.04190593304769605,224
lgbm_quant,kin8nm,32,32,2,0.0,0.03954470406971149,0.04191132275087818,224
lgbm_base,mushroom,32,32,2,0.0,0.9876904139098323,0.9876923076923076,222
lgbm_base,mushroom,64,64,4,0.0,1.0,1.0,1702
lgbm_quant,mushroom,32,32,2,0.0,0.9876904139098323,0.9876923076923076,222
lgbm_base,california_housing,4,4,8,0.0,0.8121045903102183,0.8311745350459601,244
lgbm_base,kin8nm,32,32,4,0.0,0.02864361091369482,0.0329951427947792,978
lgbm_quant,california_housing,4,4,8,0.0,0.8130051577320159,0.8318599886103986,244
lgbm_quant,mushroom,64,64,4,0.0,1.0,1.0,1702
lgbm_quant,kin8nm,32,32,4,0.0,0.02865609164777844,0.03300252003006288,978
lgbm_base,california_housing,16,16,1,0.0,0.7890813704196586,0.8136083813470519,48
