model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,covtype,1024,21,2,0.0078125,0.7364767033340577,0.7344130530192852,145
cegb,covtype_multi,16,112,4,0.0,0.7409322969219615,0.7387072622909908,3442
cegb,covtype,128,14,2,0.015625,0.7336303729058603,0.7315387726650775,92
cegb,covtype,1024,16,1,0.03125,0.7296545462759972,0.7276576336239168,48
cegb,covtype,1,1,1,0.0,0.6661187713663032,0.6648193248022857,3
cegb,covtype_multi,128,7,8,0.5,0.48794451054088883,0.48621808387046805,7
cegb,covtype,512,512,2,0.0,0.7906301297952493,0.7896525907248522,3580
cegb,covtype_multi,64,448,1,0.0,0.7024197035771682,0.7023054482242282,1344
cegb,breastcancer,512,33,2,0.015625,0.9868131868131869,0.956140350877193,209
cegb,covtype_multi,4,7,1,0.25,0.48794451054088883,0.48621808387046805,9
cegb,covtype_multi,64,49,4,0.0625,0.6420271552401093,0.64138619484867,183
cegb,breastcancer,2,2,1,0.0,0.6285714285714286,0.6228070175438597,6
cegb,covtype_multi,1,7,1,0.0078125,0.48794451054088883,0.48621808387046805,21
cegb,covtype_multi,4,28,4,0.03125,0.6637134823120895,0.6626334948323193,204
cegb,breastcancer,512,25,8,0.03125,0.9846153846153847,0.9649122807017544,171
cegb,covtype_multi,4,28,8,0.0078125,0.7348954086517258,0.7334234055919382,1302
cegb,kr-vs-kp,1,1,1,0.5,0.5199530516431925,0.53125,1
cegb,covtype_multi,128,119,1,0.015625,0.6739693078232134,0.6736487009801813,259
cegb,breastcancer,512,512,8,0.0,1.0,0.9736842105263158,7028
cegb,breastcancer,2,2,2,0.25,0.6285714285714286,0.6228070175438597,6
cegb,kr-vs-kp,1,1,4,0.03125,0.9432707355242567,0.93125,11
cegb,covtype_multi,128,140,2,0.0078125,0.6909483250109185,0.6905587635431099,564
cegb,breastcancer,1024,2,1,0.5,0.6285714285714286,0.6228070175438597,6
cegb,breastcancer,1024,13,2,0.125,0.9516483516483516,0.9473684210526315,45
cegb,kr-vs-kp,1,1,8,0.0078125,0.956964006259781,0.9546875,47
cegb,kr-vs-kp,2,2,4,0.125,0.9432707355242567,0.93125,20
cegb,kr-vs-kp,2,2,8,0.03125,0.9624413145539906,0.9421875,48
cegb,kr-vs-kp,1,1,2,0.125,0.7762128325508607,0.7828125,5
cegb,kr-vs-kp,4,1,4,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,2,1,2,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,4,4,1,0.0078125,0.7554773082942097,0.7515625,12
