model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
cegb,breastcancer,16,7,1,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
cegb,kr-vs-kp,1,1,2,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,32,19,4,0.0625,0.956043956043956,0.0,0.9649122807017544,91,0.9362637362637364
ccp,kr-vs-kp,32,32,1,0.0,0.8466400145779793,0.0,0.903125,96,0.9045369068003914
cegb,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9649122807017544,3072,0.9538461538461538
cegb,kr-vs-kp,512,1,1,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
ccp,kr-vs-kp,16,16,1,0.25,1.383461917825569,0.0,0.5046875,16,0.5266060726516634
cegb,breastcancer,16,16,4,0.015625,0.978021978021978,0.0,0.9649122807017544,142,0.9362637362637364
ccp,kr-vs-kp,1,1,4,0.0625,1.3834619178255694,0.0,0.5046875,1,0.5266060726516634
lgbm_base,kr-vs-kp,4,4,4,0.0,0.9389671361502347,0.0,0.9484375,68,0.93896771037182
lgbm_quant,kr-vs-kp,4,4,4,0.0,0.9389671361502347,0.0,0.9484375,68,0.93896771037182
cegb,kr-vs-kp,4,4,1,0.015625,0.7852112676056338,0.0,0.746875,12,0.7957872125733855
lgbm_base,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9912280701754386,3072,0.9538461538461538
lgbm_base,kr-vs-kp,2,2,2,0.0,0.9045383411580594,0.0,0.903125,12,0.8756306568003914
lgbm_quant,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9912280701754386,3072,0.9538461538461538
ccp,kr-vs-kp,8,8,2,0.015625,0.9153784975746204,0.0,0.903125,44,0.9045369068003914
cegb,breastcancer,4,4,1,0.015625,0.8901098901098901,0.0,0.9035087719298246,12,0.8967032967032967
cegb,kr-vs-kp,128,128,4,0.0,0.985133020344288,0.0,0.9765625,2888,0.9737868456457928
cegb,kr-vs-kp,8,8,1,0.0625,0.9045383411580594,0.0,0.903125,24,0.8756306568003914
ccp,kr-vs-kp,4,4,1,0.015625,1.2588786231207014,0.0,0.903125,12,0.8427539444716242
cegb,kr-vs-kp,1,1,4,0.0625,0.9389671361502347,0.0,0.9484375,11,0.93896771037182
ccp,kr-vs-kp,4,4,4,0.0,0.9226538087707716,0.0,0.9484375,72,0.93896771037182
cegb,kr-vs-kp,32,19,8,0.015625,0.9663536776212832,0.0,0.9671875,577,0.959704470401174
cegb,kr-vs-kp,128,88,1,0.015625,0.9366197183098592,0.0,0.9453125,264,0.9366201382093934
cegb,kr-vs-kp,16,16,4,0.015625,0.9389671361502347,0.0,0.9484375,178,0.93896771037182
cegb,breastcancer,8,8,1,0.0625,0.931868131868132,0.0,0.9473684210526316,24,0.90989010989011
cegb,kr-vs-kp,512,8,8,0.0625,0.9573552425665102,0.0,0.9625,108,0.9507040423189824
cegb,kr-vs-kp,256,20,1,0.0625,0.9045383411580594,0.0,0.903125,60,0.9045369068003914
ccp,kr-vs-kp,2,2,2,0.0,1.228149090250123,0.0,0.903125,10,0.8756306568003914
cegb,kr-vs-kp,64,1,4,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,512,29,4,0.015625,0.9868131868131867,0.0,0.9736842105263158,275,0.9428571428571428
cegb,kr-vs-kp,512,19,4,0.015625,0.9389671361502347,0.0,0.9484375,211,0.93896771037182
cegb,breastcancer,512,19,2,0.0625,0.9604395604395604,0.0,0.956140350877193,85,0.9318681318681318
cegb,kr-vs-kp,8,8,8,0.0,0.9683098591549296,0.0,0.9671875,426,0.9550085616438356
cegb,breastcancer,128,128,4,0.0,1.0,0.0,0.9736842105263158,2492,0.9582417582417582
ccp,kr-vs-kp,128,128,1,0.015625,1.0198038786882022,0.0,0.903125,160,0.9045369068003914
cegb,kr-vs-kp,512,9,2,0.0625,0.9045383411580594,0.0,0.903125,49,0.9045369068003914
