model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
cegb,kr-vs-kp,16,1,1,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,1024,1,2,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,breastcancer,1,1,4,0.0625,0.6197802197802198,0.0,0.6578947368421053,7,0.6197802197802198
ccp,kr-vs-kp,1,1,8,0.015625,1.2338487667402256,0.0,0.940625,9,0.9409246575342464
cegb,breastcancer,512,7,1,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
cegb,breastcancer,512,19,8,0.0625,0.9604395604395604,0.0,0.9473684210526316,89,0.9252747252747252
ccp,kr-vs-kp,256,256,1,0.0625,1.3832927686112306,0.0,0.5015625,256,0.5273919092465753
lgbm_base,kr-vs-kp,64,64,2,0.0,0.940923317683881,0.0,0.940625,446,0.942881604696673
lgbm_quant,kr-vs-kp,64,64,2,0.0,0.940923317683881,0.0,0.940625,446,0.942881604696673
cegb,breastcancer,1024,7,8,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
cegb,kr-vs-kp,32,32,1,0.0,0.9033646322378716,0.0,0.9078125,96,0.9033657962328766
cegb,breastcancer,1024,30,8,0.015625,0.9846153846153848,0.0,0.9736842105263158,266,0.9494505494505494
cegb,kr-vs-kp,64,64,2,0.0,0.940923317683881,0.0,0.940625,442,0.9424902152641876
ccp,kr-vs-kp,32,32,4,0.0625,1.3832927686112306,0.0,0.5015625,32,0.5273919092465753
cegb,kr-vs-kp,1024,19,8,0.015625,0.9667449139280124,0.0,0.9625,523,0.9636191291585126
cegb,breastcancer,1024,7,2,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
ccp,kr-vs-kp,32,32,8,0.015625,0.7774331191978148,0.0,0.940625,80,0.9409246575342464
cegb,kr-vs-kp,256,256,8,0.0,0.9945226917057904,0.0,0.9890625,15370,0.9823943554305284
ccp,kr-vs-kp,8,8,1,0.0625,1.3832927686112306,0.0,0.5015625,8,0.5273919092465753
cegb,kr-vs-kp,1024,1024,1,0.0,0.9624413145539906,0.0,0.95,3072,0.9577437010763208
ccp,kr-vs-kp,1,1,2,0.25,1.3832927686112306,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,32,8,4,0.0625,0.940923317683881,0.0,0.940625,80,0.9409246575342464
cegb,kr-vs-kp,1024,8,4,0.0625,0.940923317683881,0.0,0.940625,80,0.9409246575342464
cegb,breastcancer,256,21,1,0.0625,0.9516483516483516,0.0,0.9473684210526316,63,0.9186813186813186
ccp,kr-vs-kp,64,64,2,0.0,0.3486739401599258,0.0,0.9453125,444,0.9448385518590996
cegb,breastcancer,128,49,1,0.015625,0.9714285714285714,0.0,0.956140350877193,147,0.9428571428571428
cegb,breastcancer,256,256,8,0.0,1.0,0.0,0.9649122807017544,6318,0.9604395604395604
cegb,breastcancer,1024,19,4,0.0625,0.9604395604395604,0.0,0.9473684210526316,89,0.9252747252747252
ccp,kr-vs-kp,32,32,2,0.25,1.3832927686112306,0.0,0.5015625,32,0.5273919092465753
